hozyaistvo,klyuch,region,rejon,vinogorje,gorod,rejon_istochnik,rejon_raznoglasie,raion_knigi,raion_istochnik,gde,vinograd_v_serbii,v_knige,imena,vivino_slug,falstaff_zvezd,vin_v_dannyh
Bajilo,bajilo,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,"Sremski Karlovci, Južno-bački okrug",True,False,"['Bajilo', 'SZR PODRUM BAJILO', 'Podrum Bajilo']",,,14
Belgrade,belgrade,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Belgrade'],,,1
Belo Brdo,belo-brdo,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,mesto,,fruska,raspolozhenie,"Срем, по данным Vivino",True,False,['Belo Brdo'],,,25
Benišek Veselinović,benisek-veselinovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,"по месту Sremski rejon, у источников Rejon Bačka ×2; Sremski rejon ×1",,ne_ustanovlen,Sremski Karlovci,True,False,['Benišek Veselinović'],,,2
Bikicki,bikicki,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Banoštor,mesto,,fruska,kniga,"Banoštor, Južno-bački okrug",True,True,"['Bikicki', 'Bikicki Natural Wine', 'Vinarija Bikicki']",,,23
Bjelica,bjelica,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,mesto,,fruska,raspolozhenie,Фрушка гора,True,False,"['Bjelica', 'VINARIJA BJELICA', 'Vinarija Bjelica', 'Bjelica winery']",,,7
Boemi,boemi,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Boemi'],,,5
Bogdanovic,bogdanovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Bogdanovic'],,,3
Bojan Basa,bojan-basa,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Сремски Карловци,mesto,,fruska,raspolozhenie,"Матеј, Сремски Карловци",True,False,"['Bojan Basa', 'Basha Vino', 'Baša']",,3,4
Braća Rajković,braca-rajkovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,morave,kniga,"Gornje Zleginje, Aleksandrovac, Rasinski okrug",True,True,"['Braća Rajković', 'Vinarija Braca Rajkovic', 'Vinarija Braća Rajković', 'Braca Rajkovic', 'Rajkovic']",,,10
Breg,breg,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Janda,mesto,,,ne_ustanovlen,Janda,True,False,['Breg'],,,3
Budimir,budimir,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,"по месту Rejon Tri Morave, у источников Rejon Tri Morave ×13; Sremski rejon ×1",morave,kniga,"Aleksandrovac, Rasinski okrug",True,True,"['Budimir', 'Vino Budimir']",,,19
Chichateau,chichateau,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Лежимир,mesto,,fruska,raspolozhenie,"Лежимир, Фрушка гора",True,False,['Chichateau'],,4,7
Château Prince,chateau-prince,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola, Šumadijski okrug",True,False,"['Château Prince', 'Chateau Prince']",,,9
Cilić,cilic,Centralna Srbija,Rejon Tri Morave,,Lozovik,prodajavina+vivino+wineart,,morave,kniga,"Lozovik, Pomoravski okrug",True,True,"['Cilić', 'Gazdinstvo Ćilić', 'Vinarija Cilić']",,3,14
Conte Vallonne,conte-vallonne,Vojvodina,,,,ne_ustanovlen,рејон один из: Banatski rejon; Južnobanatski rejon,,ne_ustanovlen,,True,False,['Conte Vallonne'],,,4
Crmničko Vino,crmnicko,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Crmničko Vino'],,,4
Cubra,cubra,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,,ne_ustanovlen,"Negotin, Borski okrug",True,False,['Cubra'],,,2
Cvetković Vinarija,cvetkovic,Centralna Srbija,Rejon Tri Morave,,,mesto,,,ne_ustanovlen,Župa,True,False,['Cvetković Vinarija'],,,3
Dalia,dalia,Centralna Srbija,Rejon Negotinska Krajina,,,vivino,,,ne_ustanovlen,,True,False,['Dalia'],,,6
Damalis,damalis,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Damalis'],,,0
Damjanovic,damjanovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Garevina,mesto,,,ne_ustanovlen,"Garevina, Rasinski okrug",True,False,['Damjanovic'],,,9
Dealul Tirolului,dealul-tirolului,Vojvodina,,,,ne_ustanovlen,рејон один из: Banatski rejon; Južnobanatski rejon,,ne_ustanovlen,,True,False,['Dealul Tirolului'],,,4
Despotika,despotika,Centralna Srbija,Šumadijski rejon,Krnjevačko vinogorje,Vlaški Do,mesto,"по месту Šumadijski rejon, у источников Šumadijski rejon ×18; Beogradski rejon ×4",sumadija,kniga,"Vlaški Do, Smederevska Palanka, Podunavski okrug",True,True,"['Despotika', 'Деспотика (Despotika)', 'Vinarija DESPOTIKA', 'Vinarija Despotika', 'Despotika Winery', 'Winery Despotika']",despotika-despotika,,23
Deurić,deuric,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Mala Remeta,mesto,,fruska,kniga,"Mala Remeta, Sremski okrug",True,True,"['Deurić', 'Vinarija Deuric', 'Vinarija Deuriç', 'Vinarija Deurić', 'Winery Deuric', 'Deuric', 'Deurič']",,3,36
DiBonis Winery,dibonis,Vojvodina,Subotički rejon,Palićko vinogorje,Subotica,mesto,,,ne_ustanovlen,"Subotica, Severnobački okrug",True,False,"['DiBonis Winery', 'Dibonis Winery', 'DiBonis', 'Dibonis']",,,20
Dimalis,dimalis,Vojvodina,Rejon Telečka,Centralnotelečko vinogorje,Stara Moravica,mesto,"по месту Rejon Telečka, у источников Rejon Bačka ×3",,ne_ustanovlen,"Stara Moravica, Severnobački okrug",True,False,['Dimalis'],,,3
Djokovic,dokovic,Centralna Srbija,Šumadijski rejon,,,wineart,,,ne_ustanovlen,,True,False,['Djokovic'],,,2
Djordjevic Estate Winery,dordevic,Centralna Srbija,Šumadijski rejon,Račansko vinogorje,Lapovo,mesto,,sumadija,kniga,"Lapovo (varošica), Šumadijski okrug",True,True,"['Djordjevic Estate Winery', 'Podrum Djordjevic', 'Podrum Đorđević']",,,6
Do Kraja Sveta,do-kraja-sveta,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,prodajavina+vivino,,,ne_ustanovlen,"Kovilj, Južno-bački okrug",True,False,['Do Kraja Sveta'],,,14
Doja,doja,Centralna Srbija,Toplički rejon,Prokupačko vinogorje,Blace,mesto,,toplica,kniga,"Blace, Toplički okrug",True,True,"['Doja', 'Doja Vinarija', 'Vinarija DOJA', 'Vinarija Doja', 'DOJA Winery', 'Doja Winery', 'Doja winery', 'Winery DOJA', 'Winery Doja']",,4,11
Draganić,draganic,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Lipovac,mesto,,sumadija,raspolozhenie,"Шумадия, по годовому тесту vino.rs",True,False,"['Draganić', 'Vinarija Draganic', 'Vinarija Draganić']",,,9
Dragojlović Vinarija,dragojlovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,fruska,kniga,,True,True,['Dragojlović Vinarija'],,,2
Dukay,dukay,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Ириг,mesto,,fruska,raspolozhenie,"Ириг, Фрушка гора",True,False,['Dukay'],,,3
Dukay-Sagmeister,dukay-sagmeister,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Ириг,mesto,,,raspolozhenie,"Ириг, Фрушка гора",True,True,"['Dukay-Sagmeister', 'Vinarija Dukay-Sagmeister', 'Sagmeister']",,,23
Dulka,dulka,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,,ne_ustanovlen,"Sremski Karlovci, Južno-bački okrug",True,False,['Dulka'],,,7
Džervin,dzervin,Centralna Srbija,Knjaževački rejon,Potrkanjsko vinogorje,Knjaževac,mesto,,jugoistok,kniga,"Knjaževac, Zaječarski okrug",True,True,"['Džervin', 'Podrum Dzervin 1927 Ltd. Knjazevac', 'Podrum Dzervin 1927', 'Podrum Džervin 1927', 'Podrum Dzervin', 'Dzervin']",,,11
Eden,eden,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Ranilović,mesto,,sumadija,kniga,"Ranilović, Šumadijski okrug",True,True,"['Eden', 'Vinarija Eden', 'Eden Winery']",,,10
