hozyaistvo,klyuch,region,rejon,vinogorje,gorod,rejon_istochnik,rejon_raznoglasie,raion_knigi,raion_istochnik,gde,vinograd_v_serbii,v_knige,imena,vivino_slug,falstaff_zvezd,vin_v_dannyh
Mcculloch Wines,mcculloch,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Novi Sad,mesto,,,ne_ustanovlen,"Novi Sad, Južnobački okrug",True,False,"['Mcculloch Wines', 'Vinarija McC', 'McCulloch', 'McC']",,,8
Mihajlovacko,mihajlovacko,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Mihajlovacko'],,,1
Mikić,mikic,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Rečka,mesto,,,ne_ustanovlen,"Rečka, Borski okrug",True,False,"['Mikić', 'Vinarija Mikic', 'Vinarija Mikić']",,,12
Milan Nikolić,milan-nikolic,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Milan Nikolić'],,,0
Milanov Podrum,milanov,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,"['Milanov Podrum', 'Milanov Podum']",,,5
Milanović,milanovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Surduk,mesto,,fruska,kniga,"Surduk, Sremski okrug",True,True,['Milanović'],,,4
Miletić,miletic,Centralna Srbija,,,,ne_ustanovlen,рејон один из: Rejon Tri Morave; Čačansko–kraljevački rejon,,ne_ustanovlen,,True,False,"['Miletić', 'Miletic']",,,9
Milijan Jelić,milijan-jelic,Centralna Srbija,Pocersko Valjevski Rejon,Podgorsko vinogorje,Valjevo,mesto,,,raspolozhenie,"Валево, Поцерско-Ваљевски район — в книге такой главы нет",True,False,"['Milijan Jelić', 'Vinarija Milijan Jelić']",,,22
Milisavljević,milisavljevic,Vojvodina,Rejon Telečka,Zapadnotelečko vinogorje,Kula,mesto,,,ne_ustanovlen,"Kula, Zapadnobački okrug",True,False,['Milisavljević'],,,8
Milić,milic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,vivino-adres,,,ne_ustanovlen,Aleksandrovac,True,False,['Milić'],,,4
Minić,vinska-kuca-minica,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,morave,kniga,"Aleksandrovac, Rasinski okrug",True,True,"['Minić', 'Vinska Kuca Minica', 'Vinska Kuća Minića', 'Vinska kuca Minica']",,,9
Mister,mister,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Mister'],,,0
Moderato,moderato,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Moderato'],,,4
Molin Winery,molin,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,"Nova Crnja, Srednjebanatski okrug",True,False,['Molin Winery'],,,4
Molovin,molovin,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Моловин,mesto,,fruska,raspolozhenie,"Моловин, Срем",True,False,"['Molovin', 'Vinarija Molovin doo', 'Vinarija Molovin', 'Winery Molovin', 'Molowinery']",,,12
Monastery Visoki Decani  (Манастирско Дечанско),visoki-decani,Kosovo i Metohija,Južnometohijski rejon,Orahovačko vinogorje,Velika Hoča,mesto,,,ne_ustanovlen,"Velika Hoča, Prizrenski okrug",True,False,['Monastery Visoki Decani  (Манастирско Дечанско)'],,,3
Moravski Val,moravski-val,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Moravski Val'],,,1
Natural Grape Concept,natural-grape-concept,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Гаревина,mesto,,,raspolozhenie,"Гаревина, Александровац",True,False,['Natural Grape Concept'],,,1
Navip,navip,Centralna Srbija,Vranjski rejon,Vrtogoško vinogorje,Vranje,mesto,,,raspolozhenie,"Земун; фрушкогорские этикетки, но хозяйство не районное",True,False,['Navip'],,,25
Nelt,nelt,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Nelt'],,,3
Nera,nera,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,,ne_ustanovlen,,True,False,['Nera'],,,2
Nikad Nije Kasno,nikad-nije-kasno,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Александровац,mesto,,,raspolozhenie,"Александровац, Жупа",True,False,"['Nikad Nije Kasno', 'Nikad nije kasno']",,,4
Nikodijević,nikodijevic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Nikodijević'],,,4
Nikolas,nikolas,Centralna Srbija,Knjaževački rejon,Zaječarsko vinogorje,Zvezdan,mesto,,,ne_ustanovlen,"Zvezdan, Zaječarski okrug",True,False,['Nikolas'],,,9
ODPF-Radmilovac,odpf-radmilovac,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['ODPF-Radmilovac'],,,2
Orvin,orvin,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Orvin'],,,3
PIK OPLENAC,pik-oplenac,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola (Varošica), Šumadijski okrug",True,False,"['PIK OPLENAC', 'PIK Oplenac', 'Pik Oplenac']",,,29
PR Anjino Vino,anjino,Centralna Srbija,Šumadijski rejon,,Велика Плана,mesto,,sumadija,raspolozhenie,Велика Плана,True,False,"['PR Anjino Vino', 'Poljoprivredno Gazdinstvo Anja Dzipkovic', 'Poljoprivredno Gazdinstvo Anja Džipković', 'Pr Anjino Vino', 'Anjino Vino']",,,2
Pannonian,pannonian,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Pannonian'],,,2
Perla,perla,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Perla'],,,1
Perun Wine,perun,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Perun Wine'],,,2
Petica,petica,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Petica'],,,2
Petković Latin,petkovic-latin,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,mesto,,,ne_ustanovlen,"Pećinci, Sremski okrug",True,False,['Petković Latin'],,,2
Pimnica Perić,pimnica-peric,Centralna Srbija,,,Rajac,ne_ustanovlen,рејон один из: Rejon Negotinska Krajina; Čačansko–kraljevački rejon,,ne_ustanovlen,Village Rajac,True,False,['Pimnica Perić'],,,5
Plavi Perun,plavi-perun,Centralna Srbija,Šumadijski rejon,,,wineart,,,ne_ustanovlen,,True,False,['Plavi Perun'],,,3
Plavinac,plavinac,Centralna Srbija,Beogradski rejon,Smederevsko vinogorje,Smederevo,mesto,,podunavlje,kniga,"Smederevo, Podunavski okrug",True,True,"['Plavinac', 'Winery Plavinac, part of Spare Parts International DOO', 'Vinarija Plavinac']",,,26
Plavinci,plavinci,Centralna Srbija,Beogradski rejon,Gročansko vinogorje,Zaklopača,mesto,,,ne_ustanovlen,"Zaklopača, Beogradski okrug",True,False,"['Plavinci', 'Organska Vinarija Plavinci', 'Vinarija Plavinci', 'Plavinci Winery', 'Plavinci winery']",,,7
Podrum Bačina,bacina,Centralna Srbija,Rejon Tri Morave,Temnićko vinogorje,Varvarin,mesto,,,ne_ustanovlen,"Varvarin, Rasinski okrug",True,False,"['Podrum Bačina', 'Bacina vino d.o.o.', 'Bacina Vino', 'Bacina', 'Dolina']",,,8
Podrum Dremina,dremina,Centralna Srbija,Rejon Tri Morave,Paraćinsko vinogorje,Drenovac,mesto,,,ne_ustanovlen,"Drenovac, Pomoravski okrug",True,False,"['Podrum Dremina', 'Dremina']",,,6
Podrum Gvozdanović,gvozdanovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Gvozdanović'],,,1
Podrum Jovanovic,jovanovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Jovanovic'],,,5
Podrum Krička,kricka,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Krička'],,,4
Podrum Ljubisavljević,ljubisavljevic,Centralna Srbija,Niški rejon,Sokobanjsko vinogorje,Sokobanja,mesto,,,ne_ustanovlen,"Sokobanja, Zaječarski okrug",True,False,['Podrum Ljubisavljević'],,,6
Podrum Lukic,lukic,Centralna Srbija,Pocersko Valjevski Rejon,Kolubarsko-ljiško vinogorje,Babajić,mesto,"по месту Pocersko Valjevski Rejon, у источников Južnometohijski rejon ×1",,ne_ustanovlen,"Babajić, Kolubarski okrug",True,False,['Podrum Lukic'],,,4
Podrum Madžić,madzic,Centralna Srbija,Šumadijski rejon,,Smederevska Palanka,mesto,,,ne_ustanovlen,"Smederevska Palanka, Podunavski okrug",True,False,"['Podrum Madžić', 'Madžić']",,,5
Podrum Malča,malca,Centralna Srbija,Niški rejon,Čegarsko vinogorje,Малча,mesto,,jugoistok,raspolozhenie,Малча под Нишем,True,False,"['Podrum Malča', 'Podrum Malca']",,,16
Podrum Milošević,milosevic,Centralna Srbija,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Milošević'],,,3
Podrum Palić,palic,Vojvodina,Subotički rejon,Palićko vinogorje,Palić,mesto,,,ne_ustanovlen,"Palić, Severnobački okrug",True,False,['Podrum Palić'],,,7
Podrum Panajotovic,panajotovic,,,,,ne_ustanovlen,,,ne_ustanovlen,Belgrade,True,False,['Podrum Panajotovic'],,,6
Podrum Petrović,petrovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,"по месту Sremski rejon, у источников Sremski rejon ×2; Šumadijski rejon ×1",,ne_ustanovlen,"Sremski Karlovci, Južnobački okrug",True,False,['Podrum Petrović'],,,10
Podrum Pevac,pevac,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,Kragujevac,konkurs,"виноградник по конкурсам Rejon Tri Morave ×4, дом по месту Šumadijski rejon",,ne_ustanovlen,"Kragujevac, Šumadijski okrug",True,False,"['Podrum Pevac', 'Independent Craft Trade Podrum Pevac', 'Independent craft trade PODRUM PEVAC', 'Independet craft trade Podrum Pevac', 'Destilerija Pevac', 'Подрум Певац']",,,12
Podrum Pića Maric,pica-maric,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Pića Maric'],,,3
Podrum Stari Hrast,stari-hrast,Centralna Srbija,Šumadijski rejon,Kragujevačko vinogorje,Žirovnica,mesto,,,ne_ustanovlen,"Žirovnica, Kragujevac, Šumadijski okrug",True,False,"['Podrum Stari Hrast', 'Podrum Stari hrast', 'Stari Hrast', 'Stari hrast']",,,8
Podrum Stojković,stojkovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Banoštor,mesto,,,ne_ustanovlen,"Banoštor, Južno-bački okrug",True,False,['Podrum Stojković'],,,2
Podrum Stričević,stricevic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Stričević'],,,1
Podrum Tosic,tosic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Tosic'],,,1
Podrum Tošići,tosici,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Podrum Tošići'],,,5
Podrum Zagorac,zagorac,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Podrum Zagorac'],,,3
Podrum Zlatanović,zlatanovic,Centralna Srbija,Rejon Tri Morave,Paraćinsko vinogorje,Ћуприја,mesto,,morave,raspolozhenie,Ћуприја,True,False,['Podrum Zlatanović'],,,0
Podrum Šukac,sukac,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremska Kamenica,mesto,,,ne_ustanovlen,"Sremska Kamenica, Južnobački okrug",True,False,"['Podrum Šukac', 'Šukac']",,,5
Porodična Vinarija Stanimirović,porodicna-stanimirovic,Vojvodina,Južnobanatski rejon,,,mesto,"по месту Južnobanatski rejon, у источников Subotički rejon ×7",,ne_ustanovlen,"Jabuka, Južnobanatski okrug",True,False,['Porodična Vinarija Stanimirović'],,,7
Prima,prima,Centralna Srbija,Leskovački rejon,,Donja Lokošnica,mesto,,,ne_ustanovlen,Donja Lokošnica,True,False,['Prima'],,,1
Probus Vineyard,probus-vineyard,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Probus Vineyard'],,,0
Probus Vineyards,probus,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,mesto,,,ne_ustanovlen,"Veliki Radinci, Sremski okrug",True,False,"['Probus Vineyards', 'Carski Vinograd- M.A. Probus d.o.o', 'Probus Vineyards CCLXXX', 'Podrum Probus']",,,13
Prokupac,prokupac,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Prokupac'],,,0
Pruna,pruna,Centralna Srbija,Mlavski rejon,,Vuković,mesto,,,ne_ustanovlen,Vuković,True,False,['Pruna'],,,5
Puce,puce,Centralna Srbija,Pocersko Valjevski Rejon,Podgorsko vinogorje,Miličinica,mesto,,,ne_ustanovlen,"Miličinica, Kolubarski okrug",True,False,['Puce'],,,3
Pusula Winery,pusula,Centralna Srbija,Pocersko Valjevski Rejon,Podgorsko vinogorje,Miličinica,mesto,"по месту Pocersko Valjevski Rejon, у источников Pocersko Valjevski Rejon ×9; Rejon Tri Morave ×4",,ne_ustanovlen,Miličinica,True,False,"['Pusula Winery', 'PUSULA WINERY (ASTRA ITB doo)', 'Pusula winery', 'Pusula']",,,10
Quet,quet,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,decanter,,,ne_ustanovlen,,True,False,['Quet'],,,12
Radosavljevic,radosavljevic,Centralna Srbija,Rejon Tri Morave,Kruševačko vinogorje,Kruševac,mesto,,,ne_ustanovlen,"Kruševac, Rasinski okrug",True,False,['Radosavljevic'],,,3
Radovanović,radovanovic,Centralna Srbija,Šumadijski rejon,Krnjevačko vinogorje,Krnjevo,mesto,,sumadija,kniga,"Krnjevo, Podunavski okrug",True,True,"['Radovanović', 'Podrum Radovanovic Doo', 'Vinarija Radovanović', 'Podrum Radovanovic', 'Podrum Radovanović', 'Podrum Radovanovič', 'Radovanovic']",,,20
Radošević,radosevic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Banoštor,mesto,,,ne_ustanovlen,"Banoštor, Južno-bački okrug",True,False,['Radošević'],,,6
Radu Group Vinarija,radu-group,Centralna Srbija,Rejon Negotinska Krajina,Rogljevačko-rajačko vinogorje,Crnomasnica,mesto,,,ne_ustanovlen,"Crnomasnica, Borski okrug",True,False,['Radu Group Vinarija'],,,6
Raj,raj,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,negotin,kniga,Negotin,True,True,"['Raj', 'Vinarija Raj']",,,8
Rajacke Pimnice Vinarija Vukašinovi,rajacke-pimnice-vukasinovi,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Rajacke Pimnice Vinarija Vukašinovi'],,,6
Rajačke Pimnice Podrum Prvulović,rajacke-pimnice-prvulovic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Rajačke Pimnice Podrum Prvulović'],,,1
Rajković wine office,rajkovic-office,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Novaci,mesto,,,ne_ustanovlen,"Novaci, Rasinski okrug",True,False,['Rajković wine office'],,,0
Rakicevic,rakicevic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Rakicevic'],,,0
Ralević,ralevic,Centralna Srbija,Rejon Tri Morave,Paraćinsko vinogorje,Парачин,mesto,"по месту Rejon Tri Morave, у источников Rejon Tri Morave ×2; Nišavski rejon ×1",morave,kniga,Парачин,True,True,"['Ralević', 'Ralevic doo / Winery Ralevic', 'VINARIJA RALEVIC', 'Vinarija Ralevic', 'Vinarija Ralević', 'Winery Ralevic', 'Ralevic']",,,13
Reljić Vinarija,reljic,Vojvodina,Subotički rejon,,Palić,decanter,,,ne_ustanovlen,Palić,True,False,"['Reljić Vinarija', 'Vinarija Reljic', 'Vinarija Reljić']",,,5
Rittium,rittium,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,,ne_ustanovlen,,True,False,['Rittium'],,,3
Rnjak,rnjak,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Gudurica,mesto,,banat,kniga,Gudurica,True,True,"['Rnjak', 'VINARIJA RNJAK', 'Vinarija Rnjak']",,,5
Robert Rudinski,robert-rudinski,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,"['Robert Rudinski', 'Rudinski']",,,2
Rogan,rogan,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Lipovac,mesto,,,ne_ustanovlen,"Lipovac, Šumadijski okrug",True,False,['Rogan'],,,4
Rubin,rubin,Centralna Srbija,Rejon Tri Morave,Kruševačko vinogorje,Крушевац,mesto,,morave,raspolozhenie,"Крушевац, Расина",True,False,"['Rubin', 'RUBIN AD KRUSEVAC', 'Rubin AD Krusevac', 'Rubin AD', 'Rubinov', 'Amante']",,,53
Rujevica,rujevica,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Rujevica'],,,1
Saboss,saboss,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Saboss'],,,6
Salaxia,salaxia,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Rakovac,vivino,,,ne_ustanovlen,"Rakovac, Južno-bački okrug",True,False,['Salaxia'],,,8
Sava Minić,sava-minic,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Sava Minić'],,,2
Savković,savkovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Aleksandrovac,mesto,,,ne_ustanovlen,"Aleksandrovac, Rasinski okrug",True,False,['Savković'],,,2
Serbika Wine,serbika,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Serbika Wine'],,,5
Sila,sila,Vojvodina,Rejon Bačka,,,vivino,,,ne_ustanovlen,,True,False,['Sila'],,,1
Soul Wine,soul,Vojvodina,Južnobanatski rejon,Vršačko vinogorje,Vršac,mesto,,,ne_ustanovlen,"Vršac, Južnobanatski okrug",True,False,['Soul Wine'],,,5
Spasić,vinarska-kuca-spasic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Александровац,mesto,,morave,kniga,Александровац,True,True,"['Spasić', 'Vinarska Kuca Spasic', 'Vinarska Kuća Spasić']",,,8
Srodne Duše,srodne-duse,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Srodne Duše'],,,3
Stari Dani,stari-dani,Centralna Srbija,Vranjski rejon,Vrtogoško vinogorje,Rakovac,mesto,"по месту Vranjski rejon, у источников Leskovački rejon ×3; Vranjski rejon ×1",,ne_ustanovlen,"Rakovac, Pčinjski okrug",True,False,['Stari Dani'],,,6
Stari Oplenac,stari-oplenac,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Topola,mesto,,,ne_ustanovlen,"Topola (Varošica), Šumadijski okrug",True,False,['Stari Oplenac'],,,4
Status,status,Centralna Srbija,Niški rejon,Svrljiško vinogorje,Svrljig,mesto,,,ne_ustanovlen,"Svrljig, Nišavski okrug",True,False,['Status'],,,8
Stemina winery,stemina,Centralna Srbija,Rejon Tri Morave,Trsteničko vinogorje,Trstenik,mesto,,,ne_ustanovlen,"Trstenik, Rasinski okrug",True,False,"['Stemina winery', 'Stemina']",,,6
Sunčani Breg,suncani-breg,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Sunčani Breg'],,,3
Tarpoš,tarpos,Centralna Srbija,Šumadijski rejon,Oplenačko vinogorje,Arandjelovac,mesto,,sumadija,kniga,"Arandjelovac, Šumadijski okrug",True,True,"['Tarpoš', 'Winery Tarpos', 'Winery Tarpoš', 'Tarpoš doo', 'Tarpos']",,,17
Temet,temet,Centralna Srbija,Rejon Tri Morave,Jagodinsko vinogorje,Lozovik,mesto,,morave,kniga,"selo Lozovik, Jagodina, Pomoravski okrug",True,True,"['Temet', 'Vinarija Temet', 'Temet Winery', 'Temet d.o.o', 'TemeT']",temet,4,25
Tenuta Est Winery,tenuta-est,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,,ne_ustanovlen,"Negotin, Borski okrug",True,False,"['Tenuta Est Winery', 'Tenuta Est']",,,7
Teodora,teodora,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,vivino,,,ne_ustanovlen,,True,False,['Teodora'],,,1
Terra Balkanika,terra-balkanika,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Terra Balkanika'],,,2
The Collective Presents,the-collective-presents,Vojvodina,Subotički rejon,,,vivino,,,ne_ustanovlen,,True,False,['The Collective Presents'],,,7
The Sparkling Winery,the-sparkling,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Mala Remeta,mesto,,fruska,kniga,"Mala Remeta, Sremski okrug",True,True,['The Sparkling Winery'],,,0
Tica Winery,tica,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Tica Winery'],,,3
Tody,tody,Centralna Srbija,Toplički rejon,,,mesto,,,ne_ustanovlen,"Donja Jošanica, Toplički okrug",True,False,['Tody'],,,0
Tonković,tonkovic,Vojvodina,Subotički rejon,Palićko vinogorje,Subotica,mesto,,subotica,kniga,"Subotica, Severno-bački okrug",True,True,"['Tonković', 'Vinarija Tonkovic', 'Vinarija Tonković', 'Tonković winery', 'Tonkovic']",,,7
Toplički vinogradi,toplicki,Centralna Srbija,Toplički rejon,Prokupačko vinogorje,Gojinovac,mesto,,toplica,kniga,Gojinovac,True,True,"['Toplički vinogradi', 'Vinarija Toplički Vinogradi', 'Toplicki Vinogradi', 'Toplicki vinogradi', 'Toplički Vinogradi']",,,18
Traško Vinarija,trasko,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,,ne_ustanovlen,"Negotin, Borski okrug",True,False,"['Traško Vinarija', 'Traško']",,,4
Tri Medje I Oblak,tri-mede-i-oblak,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Neštin,mesto,"по месту Sremski rejon, у источников Sremski rejon ×3; Rejon Bačka ×2",,ne_ustanovlen,"Neštin, Zapadno-bački okrug",True,False,"['Tri Medje I Oblak', 'Tri medje I oblak', 'Tri Međe I Oblak', 'Tri međe i oblak']",,,6
Tri Oraha,tri-oraha,Centralna Srbija,Rejon Negotinska Krajina,,,wineart,,,ne_ustanovlen,,True,False,['Tri Oraha'],,,8
Tri Puške,tri-puske,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Tri Puške'],,,2
Trivanović,trivanovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,,mesto,,fruska,raspolozhenie,"Срем, по данным Vivino",True,False,"['Trivanović', 'Vinarija TRIVANOVIĆ', 'Vinarija Trivanovic', 'Vinarija Trivanović', 'Trivanovic']",,,23
Ukusi Moga Kraja,ukusi-moga-kraja,,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Ukusi Moga Kraja'],,,2
Uns Petra,uns-petra,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,,True,False,['Uns Petra'],,,1
Uziwa Winery,uziwa,Centralna Srbija,Rejon Tri Morave,,Vrnjačka Banja,vivino-adres,,,ne_ustanovlen,Vrnjačka Banja,True,False,['Uziwa Winery'],,,1
VINARIJA STANKOVIĆ,stankovic,Centralna Srbija,Mlavski rejon,Braničevsko vinogorje,Rabrovo,mesto,,,ne_ustanovlen,"Rabrovo, Braničevski okrug",True,False,"['VINARIJA STANKOVIĆ', 'Vinarija Stanković', 'Stanković']",,,1
Varina,varina,Centralna Srbija,Rejon Tri Morave,,,mesto,,,ne_ustanovlen,"Venčac, Rasinski okrug",True,False,['Varina'],,,5
Veritas Ćuković,veritas-cukovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,,fruska,kniga,"Sremski Karlovci, Južno-bački okrug",True,True,"['Veritas Ćuković', 'Vinarija Veritas d.o.o.', 'Vinarija Veritas', 'Veritas Cukovic', 'Veritas ćUkovic', 'Veritas ćUković', 'Veritas']",,,12
Verkat,verkat,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Čerević,mesto,,fruska,kniga,"Čerević, Južno-bački okrug",True,True,"['Verkat', 'Vinarija Verkat', 'Verkat winery']",,,5
Vert,vert,Centralna Srbija,Rejon Tri Morave,,,vivino,,,ne_ustanovlen,,True,False,['Vert'],,,5
Vertiz,vertiz,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,,mesto,,,ne_ustanovlen,"Levačko vinogorje, Pomoravski okrug",True,False,['Vertiz'],,,0
Victory,victory,Centralna Srbija,,,,ne_ustanovlen,рејон один из: Rejon Tri Morave; Čačansko–kraljevački rejon,,ne_ustanovlen,,True,False,['Victory'],,,2
Vila Vina,vila,Centralna Srbija,Rejon Tri Morave,,,vivino,,,raspolozhenie,Vivino относит к «Zapadna Morava» — главы под этот район в книге нет,True,False,['Vila Vina'],,,10
Vilimonovic,vilimonovic,Centralna Srbija,Rejon Tri Morave,Trsteničko vinogorje,Medveđa,mesto,,,ne_ustanovlen,"Medveđa, Rasinski okrug",True,False,['Vilimonovic'],,,8
Vimmid,frunza-aglaja,Centralna Srbija,Rejon Negotinska Krajina,Negotinsko vinogorje,Negotin,mesto,,negotin,kniga,"Negotin, Borski okrug",True,True,"['Vimmid', 'ΒИММИД ΒИΗΑΡИЈΑ (Vimmid Winery)', 'Vinarija Frunza Aglaja', 'Vinarija Vimmid', 'Aglaya (Аглая)', 'Aglaja']",,,10
Vina Jelenković,jelenkovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Stubal,mesto,,,ne_ustanovlen,"Stubal, Rasinski okrug",True,False,['Vina Jelenković'],,,1
Vina Mives,mives,Centralna Srbija,Šumadijski rejon,Kragujevačko vinogorje,Vlakča,mesto,,,ne_ustanovlen,"Vlakča, Šumadijski okrug",True,False,['Vina Mives'],,,3
Vina Pešić,pesic,Vojvodina,,,,ne_ustanovlen,,,ne_ustanovlen,Belgrade,True,False,['Vina Pešić'],,,13
Vinarija 100 Žena,100-zena,Centralna Srbija,Niški rejon,Čegarsko vinogorje,Vele Polje,mesto,"по месту Niški rejon, у источников Niški rejon ×12; Nišavski rejon ×1",,ne_ustanovlen,Vele Polje,True,False,"['Vinarija 100 Žena', '100 Women Winery-100 žena Vinarija', 'Vinarija 100 žena', '100 women winery', 'Vinarija 100žena', '100 Žena']",,,11
Vinarija A. Rajković,a-rajkovic,Centralna Srbija,Rejon Tri Morave,Župsko vinogorje,Gornja Zleginja,mesto,,,ne_ustanovlen,"Gornja Zleginja, Rasinski okrug",True,False,['Vinarija A. Rajković'],,,2
Vinarija Acumincum,acumincum,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Сремски Карловци,mesto,,fruska,raspolozhenie,Сремски Карловци,True,False,['Vinarija Acumincum'],,,3
Vinarija Agatija,agatija,Centralna Srbija,Rejon Tri Morave,Levačko vinogorje,Rabenovac,mesto,,,ne_ustanovlen,"Rabenovac, Pomoravski okrug",True,False,['Vinarija Agatija'],,,6
Vinarija Aleksandar,aleksandar,Vojvodina,Južnobanatski rejon,,,vinarijesrbije,,,ne_ustanovlen,,True,False,['Vinarija Aleksandar'],,,1
Vinarija Apatović,apatovic,Vojvodina,Sremski rejon,Fruškogorsko vinogorje,Sremski Karlovci,mesto,"по месту Sremski rejon, у источников Rejon Bačka ×2; Sremski rejon ×1",,ne_ustanovlen,"Sremski Karlovci, Južnobački okrug",True,False,['Vinarija Apatović'],,,2
