klyuch_vina,hozyaistvo,vino,istochnik,shkala,ball,vyborka,vyborka_nizhnyaya_granica,god,konkurs_god,ogovorka,stranica,sobrano
vincic-grand-fru,Vinčić,Grand Fru,vivino,5,4,119,False,,,,https://www.vivino.com/w/12606680,2026-08-28
vincic-grasac,Vinčić,Grašac,vivino,5,4.3,41,False,,,,https://www.vivino.com/w/12606686,2026-08-28
erdevik-omnibus-lector-chardonnay,Erdevik,Omnibus Lector Chardonnay,vivino,5,4.3,816,False,,,,https://www.vivino.com/w/5027454,2026-08-28
erdevik-grand-trianon,Erdevik,Grand Trianon,vivino,5,4.3,2931,False,,,,https://www.vivino.com/w/6249992,2026-08-28
erdevik-marlon-delon-cabernet-sauvignon-merlot,Erdevik,Marlon Delon Cabernet Sauvignon - Merlot,vivino,5,4.3,571,False,,,,https://www.vivino.com/w/8650613,2026-08-28
erdevik-stiflers-mom-shiraz,Erdevik,Stifler's Mom Shiraz,vivino,5,4.3,1359,False,,,,https://www.vivino.com/w/7149788,2026-08-28
erdevik-trianon,Erdevik,Trianon,vivino,5,4.1,1928,False,,,,https://www.vivino.com/w/4923678,2026-08-28
erdevik-roza-nostra,Erdevik,Roza Nostra,vivino,5,4,725,False,,,,https://www.vivino.com/w/4510554,2026-08-28
kovacevic-edicija-s-edition-aurelius,Kovačević,Edicija S Edition Aurelius,vivino,5,4.2,1008,False,,,,https://www.vivino.com/w/6659296,2026-08-28
kovacevic-edicija-r-chardonnay,Kovačević,Edicija R Chardonnay,vivino,5,4.2,,False,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-edicija-r-sauvignon,Kovačević,Edicija R Sauvignon,vivino,5,4.1,,False,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-edicija-s-sauvignon,Kovačević,Edicija S Sauvignon,vivino,5,4.1,,False,,,,https://www.vivino.com/wineries/vinarija-kovacevic,2026-08-28
kovacevic-aurelius,Kovačević,Aurelius,vivino,5,3.9,3907,False,,,,https://www.vivino.com/w/1222956,2026-08-28
kovacevic-brut,Kovačević,Brut,vivino,5,3.9,364,False,,,,https://www.vivino.com/w/1677118,2026-08-28
kovacevic-chardonnay,Kovačević,Chardonnay,vivino,5,3.9,2467,False,,,,https://www.vivino.com/w/3552720,2026-08-28
kovacevic-sauvignon,Kovačević,Sauvignon,vivino,5,3.9,1183,False,,,,https://www.vivino.com/w/4016235,2026-08-28
kovacevic-cuvee-blanc,Kovačević,Cuvée Blanc,vivino,5,3.9,238,False,,,,https://www.vivino.com/w/4133790,2026-08-28
kovacevic-cuvee-piquant,Kovačević,Cuvée Piquant,vivino,5,3.7,494,False,,,,https://www.vivino.com/w/2793699,2026-08-28
kovacevic-cuvee-rouge,Kovačević,Cuvée Rouge,vivino,5,3.5,222,False,,,,https://www.vivino.com/w/4016714,2026-08-28
mackov-frajla-rose,Mackov Podrum,Frajla Rosé,vivino,5,3.5,78,False,,,,https://www.vivino.com/w/2559073,2026-08-28
mackov-camerlot,Mackov Podrum,Camerlot,vivino,5,3.6,55,False,,,,https://www.vivino.com/w/6261897,2026-08-28
mackov-mirisavi-traminac,Mackov Podrum,Mirisavi Traminac,vivino,5,3.6,88,False,,,,https://www.vivino.com/w/2684755,2026-08-28
mackov-sauvignon-blanc,Mackov Podrum,Sauvignon Blanc,vivino,5,3.5,34,False,,,,https://www.vivino.com/w/4451480,2026-08-28
mackov-chardonnay,Mackov Podrum,Chardonnay,vivino,5,3.4,78,False,,,,https://www.vivino.com/w/4060909,2026-08-28
mackov-incognito,Mackov Podrum,Incognito,vivino,5,3.4,34,False,,,,https://www.vivino.com/w/1952406,2026-08-28
mackov-merlot,Mackov Podrum,Merlot,vivino,5,3.3,114,False,,,,https://www.vivino.com/w/1794843,2026-08-28
mackov-portugizer,Mackov Podrum,Portugizer,vivino,5,3,263,False,,,,https://www.vivino.com/w/3088176,2026-08-28
bikicki-victor,Bikicki,Victor,vivino,5,4,111,False,,,,https://www.vivino.com/w/11140034,2026-08-28
bikicki-sfera-noir,Bikicki,Sfera Noir,vivino,5,4.1,510,False,,,,https://www.vivino.com/w/10144475,2026-08-28
bikicki-makana,Bikicki,Makana,vivino,5,4,110,False,,,,https://www.vivino.com/w/6294565,2026-08-28
bikicki-uncensored,Bikicki,Uncensored,vivino,5,4,640,False,,,,https://www.vivino.com/w/7240828,2026-08-28
bikicki-lily,Bikicki,Lily,vivino,5,4,158,False,,,,https://www.vivino.com/w/9397347,2026-08-28
bikicki-nikka,Bikicki,Nikka,vivino,5,4,37,False,,,,https://www.vivino.com/w/10813854,2026-08-28
bikicki-crna-tamjanika,Bikicki,Crna Tamjanika,vivino,5,3.9,158,False,,,,https://www.vivino.com/w/6424447,2026-08-28
bikicki-s-o,Bikicki,S/O,vivino,5,3.9,369,False,,,,https://www.vivino.com/w/5780289,2026-08-28
bikicki-sfera,Bikicki,Sfera,vivino,5,3.9,308,False,,,,https://www.vivino.com/w/8558502,2026-08-28
bikicki-cu,Bikicki,Cu,vivino,5,3.8,335,False,,,,https://www.vivino.com/w/7136339,2026-08-28
bikicki-pinotte,Bikicki,Pinotte,vivino,5,3.8,363,False,,,,https://www.vivino.com/w/5361835,2026-08-28
durdic-probus,Vinarija Đurđić,Probus,vivino,5,4.1,107,False,,,,https://www.vivino.com/w/10421142,2026-08-28
durdic-cabernet-franc,Vinarija Đurđić,Cabernet Franc,vivino,5,4,172,False,,,,https://www.vivino.com/w/6766243,2026-08-28
durdic-traminac,Vinarija Đurđić,Traminac,vivino,5,3.9,43,False,,,,https://www.vivino.com/w/10565367,2026-08-28
durdic-simonida-mlada,Vinarija Đurđić,Simonida Mlada,vivino,5,3.9,48,False,,,,https://www.vivino.com/w/9818841,2026-08-28
durdic-neoplanta,Vinarija Đurđić,Neoplanta,vivino,5,3.9,79,False,,,,https://www.vivino.com/w/9721205,2026-08-28
durdic-crni-vitez-bermet,Vinarija Đurđić,Crni Vitez Bermet,vivino,5,3.8,30,False,,,,https://www.vivino.com/w/6605248,2026-08-28
durdic-sauvignon-blanc,Vinarija Đurđić,Sauvignon Blanc,vivino,5,3.8,53,False,,,,https://www.vivino.com/w/10664093,2026-08-28
