klyuch_vina,hozyaistvo,vino,istochnik,shkala,ball,vyborka,vyborka_nizhnyaya_granica,god,konkurs_god,ogovorka,stranica,sobrano
coka-grof-lederer-chardonnay,Vinarija Coka,Grof Lederer Chardonnay,vivino,5,3.4,134,False,,,,https://www.vivino.com/w/7449465,2026-08-28
coka-vranac-suvo-crveno,Vinarija Coka,Vranac Suvo Crveno,vivino,5,3.4,71,False,,,,https://www.vivino.com/w/3695026,2026-08-28
coka-zdrebac-stono-suvo-crveno,Vinarija Coka,Zdrebac Stono Suvo Crveno,vivino,5,2.9,56,False,,,,https://www.vivino.com/w/2201067,2026-08-28
coka-grof-lederer,Vinarija Coka,Grof Lederer,vivino,5,3.2,56,False,,,,https://www.vivino.com/w/9602036,2026-08-28
coka-grof-lederer-sauvignon-blanc,Vinarija Coka,Grof Lederer Sauvignon Blanc,vivino,5,2.9,53,False,,,,https://www.vivino.com/w/7654479,2026-08-28
coka-zdrebac-belo,Vinarija Coka,Ždrebac Belo,vivino,5,3,43,False,,,,https://www.vivino.com/w/7972279,2026-08-28
coka-vranac,Vinarija Coka,Vranac,vivino,5,3,42,False,,,,https://www.vivino.com/w/1564692,2026-08-28
coka-zdrepceva-krv-dry-white,Vinarija Coka,Ždrepčeva Krv Dry White,vivino,5,3.1,41,False,,,,https://www.vivino.com/w/4793338,2026-08-28
coka-lederer-muskat-otonel,Vinarija Coka,Lederer Muskat Otonel,vivino,5,3.1,39,False,,,,https://www.vivino.com/w/1573844,2026-08-28
lastar-tamjanika,Vinarija Lastar,Tamjanika,vivino,5,4.2,1010,False,,,,https://www.vivino.com/w/5544448,2026-08-28
lastar-pinot-noir,Vinarija Lastar,Pinot Noir,vivino,5,3.7,530,False,,,,https://www.vivino.com/w/5460893,2026-08-28
lastar-chardonnay,Vinarija Lastar,Chardonnay,vivino,5,3.8,332,False,,,,https://www.vivino.com/w/4858063,2026-08-28
lastar-merlot-cabernet-franc,Vinarija Lastar,Merlot - Cabernet Franc,vivino,5,3.9,249,False,,,,https://www.vivino.com/w/7747673,2026-08-28
lastar-triangl-pinot-noir,Vinarija Lastar,Triangl Pinot Noir,vivino,5,4,121,False,,,,https://www.vivino.com/w/8138896,2026-08-28
lastar-triangl-sauvignon-viognier,Vinarija Lastar,Triangl Sauvignon - Viognier,vivino,5,4.1,114,False,,,,https://www.vivino.com/w/7488889,2026-08-28
lastar-triagl-chardonnay,Vinarija Lastar,Triagl Chardonnay,vivino,5,4,101,False,,,,https://www.vivino.com/w/5876688,2026-08-28
lastar-cru-6,Vinarija Lastar,Cru 6,vivino,5,3.8,98,False,,,,https://www.vivino.com/w/11362910,2026-08-28
lastar-riesling,Vinarija Lastar,Riesling,vivino,5,3.9,83,False,,,,https://www.vivino.com/w/4653515,2026-08-28
lastar-rose,Vinarija Lastar,Rose,vivino,5,3.8,50,False,,,,https://www.vivino.com/w/6228410,2026-08-28
lastar-brut,Vinarija Lastar,Brut,vivino,5,3.9,35,False,,,,https://www.vivino.com/w/8305051,2026-08-28
lastar-sofijin-izbor-pinot-noir,Vinarija Lastar,Sofijin Izbor Pinot Noir,vivino,5,4,42,False,,,,https://www.vivino.com/w/12131953,2026-08-28
despotika-доказ-каберне-сови-он-dokaz-cabernet-sauvignon,Despotika,Доказ Каберне Совињон (Dokaz Cabernet Sauvignon),vivino,5,4,610,False,,,,https://www.vivino.com/w/6304568,2026-08-28
despotika-додир-мускат-отонел-там-аника-dodir-muscat-ottonel-тamjanika,Despotika,Додир Мускат Отонел - Тамјаника (Dodir Muscat Ottonel - Тamjanika),vivino,5,4.3,517,False,,,,https://www.vivino.com/w/6154890,2026-08-28
despotika-зма-евити-прокупац-the-dragon-prokupac,Despotika,Змајевити Прокупац (The Dragon Prokupac),vivino,5,3.9,333,False,,,,https://www.vivino.com/w/6136131,2026-08-28
despotika-траг-мерло-trag-merlot,Despotika,Траг Мерло (Trag Merlot),vivino,5,3.9,170,False,,,,https://www.vivino.com/w/6330392,2026-08-28
despotika-небо-ра-нски-ризлинг-пино-бели-nebo-rhine-riesling-pinot-blanc,Despotika,Небо Рајнски Ризлинг - Пино Бели (Nebo Rhine Riesling - Pinot Blanc),vivino,5,3.8,134,False,,,,https://www.vivino.com/w/6635007,2026-08-28
despotika-бескра-сови-он-бели-beskraj-sauvignon-blanc,Despotika,Бескрај Совињон Бели (Beskraj Sauvignon Blanc),vivino,5,3.9,114,False,,,,https://www.vivino.com/w/6939955,2026-08-28
despotika-морава-оранж,Despotika,Морава Оранж,vivino,5,4.1,84,False,,,,https://www.vivino.com/w/11123199,2026-08-28
despotika-сведок-пино-црни-svedok-pinot-noir,Despotika,Сведок Пино Црни (Svedok Pinot Noir),vivino,5,3.8,49,False,,,,https://www.vivino.com/w/7733218,2026-08-28
despotika-знамен-ра-нски-ризлинг-znamen-rhine-riesling,Despotika,Знамен Рајнски Ризлинг (Znamen Rhine Riesling),vivino,5,4,48,False,,,,https://www.vivino.com/w/7733213,2026-08-28
despotika-krunski-dokaz-grand-reserve,Despotika,Krunski Dokaz Grand Reserve,vivino,5,4.3,43,False,,,,https://www.vivino.com/w/11034950,2026-08-28
cilic-onyx-rouge,Cilić,Onyx Rouge,vivino,5,4.2,792,False,,,,https://www.vivino.com/w/3829927,2026-08-28
cilic-cabernet-merlot,Cilić,Cabernet - Merlot,vivino,5,3.8,641,False,,,,https://www.vivino.com/w/2538692,2026-08-28
cilic-onyx-blanc,Cilić,Onyx Blanc,vivino,5,4.2,419,False,,,,https://www.vivino.com/w/3907416,2026-08-28
cilic-fume-blanc,Cilić,Fumé Blanc,vivino,5,3.7,228,False,,,,https://www.vivino.com/w/1287488,2026-08-28
cilic-mopaba,Cilić,Mopaba,vivino,5,3.9,80,False,,,,https://www.vivino.com/w/7467422,2026-08-28
cilic-onyx-rose,Cilić,Onyx Rosé,vivino,5,3.6,79,False,,,,https://www.vivino.com/w/6732193,2026-08-28
cilic-pinot-noir,Cilić,Pinot Noir,vivino,5,4,69,False,,,,https://www.vivino.com/w/1924928,2026-08-28
cilic-merlot-manifest-grand-cur,Cilić,Merlot Manifest Grand Cur,vivino,5,4.4,56,False,,,,https://www.vivino.com/w/10302006,2026-08-28
cilic-crni-vrh-cabernet-merlot,Cilić,Crni Vrh Cabernet - Merlot,vivino,5,3.9,58,False,,,,https://www.vivino.com/w/12944969,2026-08-28
cilic-kasmir,Cilić,Kašmir,vivino,5,4.1,61,False,,,,https://www.vivino.com/w/11543190,2026-08-28
cilic-xomo-zero,Cilić,Xomo Zero,vivino,5,3.7,26,False,,,,https://www.vivino.com/w/2412080,2026-08-28
cilic-crni-vrh-sauvignon-blanc,Cilić,Crni Vrh Sauvignon Blanc,vivino,5,3.8,39,False,,,,https://www.vivino.com/w/12919339,2026-08-28
cilic-manifest-sauvignon-blanc,Cilić,Manifest Sauvignon Blanc,vivino,5,4.2,25,False,,,,https://www.vivino.com/w/12133580,2026-08-28
milijan-jelic-mammoth-pinot-noir,Milijan Jelić,Mammoth Pinot Noir,vivino,5,3.9,277,False,,,,https://www.vivino.com/w/1484785,2026-08-28
milijan-jelic-millennium,Milijan Jelić,Millennium,vivino,5,4.1,188,False,,,,https://www.vivino.com/w/3831597,2026-08-28
milijan-jelic-millennium-barrique,Milijan Jelić,Millennium Barrique,vivino,5,4.1,178,False,,,,https://www.vivino.com/w/1849737,2026-08-28
milijan-jelic-barrique-chardonnay,Milijan Jelić,Barrique Chardonnay,vivino,5,3.7,78,False,,,,https://www.vivino.com/w/1708746,2026-08-28
milijan-jelic-adam,Milijan Jelić,Adam,vivino,5,3.5,71,False,,,,https://www.vivino.com/w/6748033,2026-08-28
milijan-jelic-slovenski-san-kamenicanka,Milijan Jelić,Slovenski San Kameničanka,vivino,5,3.8,59,False,,,,https://www.vivino.com/w/1897915,2026-08-28
milijan-jelic-eva,Milijan Jelić,Eva,vivino,5,3.7,50,False,,,,https://www.vivino.com/w/6351129,2026-08-28
milijan-jelic-tamuz-frankovka-barrique,Milijan Jelić,Tamuz Frankovka Barrique,vivino,5,3.7,30,False,,,,https://www.vivino.com/w/1828523,2026-08-28
milijan-jelic-tamuz-crveno,Milijan Jelić,Tamuz Crveno,vivino,5,3.4,29,False,,,,https://www.vivino.com/w/4170776,2026-08-28
milijan-jelic-baby-mammoth,Milijan Jelić,Baby Mammoth,vivino,5,3.1,28,False,,,,https://www.vivino.com/w/4827636,2026-08-28
janko-zapis-crveni-merlot,Podrum Janko,Zapis Crveni Merlot,vivino,5,4.1,446,False,,,,https://www.vivino.com/w/2288829,2026-08-28
janko-zavet,Podrum Janko,Zavet,vivino,5,3.9,314,False,,,,https://www.vivino.com/w/3030255,2026-08-28
janko-zavet-stari-red-blend,Podrum Janko,Zavet Stari Red Blend,vivino,5,4.3,302,False,,,,https://www.vivino.com/w/2521041,2026-08-28
janko-bas-prokupac-баш-прокупац,Podrum Janko,Bas Prokupac (Баш Прокупац),vivino,5,3.9,198,False,,,,https://www.vivino.com/w/6127181,2026-08-28
janko-misija-chardonnay,Podrum Janko,Misija Chardonnay,vivino,5,3.8,131,False,,,,https://www.vivino.com/w/2936401,2026-08-28
janko-zavet-red-blend,Podrum Janko,Zavet Red Blend,vivino,5,4,137,False,,,,https://www.vivino.com/w/2303171,2026-08-28
janko-бифора-bifora,Podrum Janko,Бифора (Bifora),vivino,5,4.3,122,False,,,,https://www.vivino.com/w/7131368,2026-08-28
janko-smederevka,Podrum Janko,Smederevka,vivino,5,3.5,111,False,,,,https://www.vivino.com/w/2185386,2026-08-28
janko-sauvignon-blanc,Podrum Janko,Sauvignon Blanc,vivino,5,3.8,90,False,,,,https://www.vivino.com/w/2622685,2026-08-28
janko-vrtlog-sauvignon-blanc,Podrum Janko,Vrtlog Sauvignon Blanc,vivino,5,4.1,78,False,,,,https://www.vivino.com/w/2485952,2026-08-28
janko-запис-тестамент-crveni-zapis-testament,Podrum Janko,Запис Тестамент (Crveni Zapis Testament),vivino,5,4.4,66,False,,,,https://www.vivino.com/w/7508950,2026-08-28
janko-jelena-rose,Podrum Janko,Jelena Rosé,vivino,5,3.5,45,False,,,,https://www.vivino.com/w/2189117,2026-08-28
janko-zlatno-runo-cabernet-sauvignon,Podrum Janko,Zlatno Runo Cabernet Sauvignon,vivino,5,4.4,58,False,,,,https://www.vivino.com/w/9157413,2026-08-28
janko-misija-barrique-chardonnay,Podrum Janko,Misija Barrique Chardonnay,vivino,5,3.9,34,False,,,,https://www.vivino.com/w/2425053,2026-08-28
janko-zapis-rajnski-rizling,Podrum Janko,Zapis Rajnski Rizling,vivino,5,3.7,32,False,,,,https://www.vivino.com/w/2427599,2026-08-28
janko-mesecina-penusavo-belo,Podrum Janko,Mesečina Penušavo Belo,vivino,5,3.9,33,False,,,,https://www.vivino.com/w/9700050,2026-08-28
belo-brdo-alma-mons-cuvee-rouge,Belo Brdo,Alma Mons Cuvée Rouge,vivino,5,4,1199,False,,,,https://www.vivino.com/w/2340550,2026-08-28
belo-brdo-chardonnay,Belo Brdo,Chardonnay,vivino,5,3.8,361,False,,,,https://www.vivino.com/w/1466950,2026-08-28
belo-brdo-pinot-noir,Belo Brdo,Pinot Noir,vivino,5,3.6,156,False,,,,https://www.vivino.com/w/1466910,2026-08-28
belo-brdo-sauvignon-blanc,Belo Brdo,Sauvignon Blanc,vivino,5,3.7,116,False,,,,https://www.vivino.com/w/1369732,2026-08-28
belo-brdo-cabernet-sauvignon,Belo Brdo,Cabernet Sauvignon,vivino,5,4,83,False,,,,https://www.vivino.com/w/5181172,2026-08-28
belo-brdo-marselan,Belo Brdo,Marselan,vivino,5,4.2,66,False,,,,https://www.vivino.com/w/7789628,2026-08-28
belo-brdo-cabernet-franc,Belo Brdo,Cabernet Franc,vivino,5,3.9,52,False,,,,https://www.vivino.com/w/5821077,2026-08-28
belo-brdo-riesling,Belo Brdo,Riesling,vivino,5,3.8,49,False,,,,https://www.vivino.com/w/4986321,2026-08-28
belo-brdo-merlot,Belo Brdo,Merlot,vivino,5,3.9,37,False,,,,https://www.vivino.com/w/5937793,2026-08-28
belo-brdo-petit-verdot,Belo Brdo,Petit Verdot,vivino,5,4.1,32,False,,,,https://www.vivino.com/w/2308204,2026-08-28
bjelica-babaroga-chardonnay,Bjelica,Babaroga Chardonnay,vivino,5,4.4,1025,False,,,,https://www.vivino.com/w/2510012,2026-08-28
bjelica-graffiti-crveno,Bjelica,Graffiti Crveno,vivino,5,4,514,False,,,,https://www.vivino.com/w/1964786,2026-08-28
bjelica-saga,Bjelica,Saga,vivino,5,4.1,359,False,,,,https://www.vivino.com/w/3116836,2026-08-28
bjelica-babaroga-crvena,Bjelica,Babaroga Crvena,vivino,5,4.4,52,False,,,,https://www.vivino.com/w/12106292,2026-08-28
bjelica-babaroga-penusavac,Bjelica,Babaroga Penušavac,vivino,5,4.2,45,False,,,,https://www.vivino.com/w/6537410,2026-08-28
bjelica-graffiti-roze,Bjelica,Graffiti Roze,vivino,5,3.5,25,False,,,,https://www.vivino.com/w/3763859,2026-08-28
matijasevic-sedam-hrastova-cuvee-crveno,Matijašević,Sedam Hrastova Cuvée Crveno,vivino,5,3.8,240,False,,,,https://www.vivino.com/w/8450607,2026-08-28
pik-oplenac-monarh-immortal-s,PIK Oplenac,Monarh Immortal S,vivino,5,3.8,404,False,,,,https://www.vivino.com/w/7356501,2026-08-28
pik-oplenac-tron-red,PIK Oplenac,Tron Red,vivino,5,3.6,185,False,,,,https://www.vivino.com/w/9248209,2026-08-28
pik-oplenac-monarh-immortal-cabernet-sauvignon,PIK Oplenac,Monarh Immortal Cabernet Sauvignon,vivino,5,3.8,151,False,,,,https://www.vivino.com/w/7272725,2026-08-28
pik-oplenac-constanta-muse-rose,PIK Oplenac,Constanta Muse Rosé,vivino,5,3.9,143,False,,,,https://www.vivino.com/w/7102589,2026-08-28
pik-oplenac-constanta-muse-chardonnay,PIK Oplenac,Constanta Muse Chardonnay,vivino,5,3.8,116,False,,,,https://www.vivino.com/w/7191580,2026-08-28
pik-oplenac-monarh-s,PIK Oplenac,Monarh S,vivino,5,4,115,False,,,,https://www.vivino.com/w/6334020,2026-08-28
pik-oplenac-monarh-cuvee,PIK Oplenac,Monarh Cuvée,vivino,5,3.8,110,False,,,,https://www.vivino.com/w/5279404,2026-08-28
pik-oplenac-villa-nota-muscat-ottonel,PIK Oplenac,Villa Nota Muscat Ottonel,vivino,5,3.7,112,False,,,,https://www.vivino.com/w/7356462,2026-08-28
pik-oplenac-constanta-muse-sauvignon-blanc,PIK Oplenac,Constanta Muse Sauvignon Blanc,vivino,5,3.8,89,False,,,,https://www.vivino.com/w/7308555,2026-08-28
pik-oplenac-tron-white,PIK Oplenac,Tron White,vivino,5,3.6,82,False,,,,https://www.vivino.com/w/8938438,2026-08-28
pik-oplenac-monarh-immortal-cuvee,PIK Oplenac,Monarh Immortal Cuvée,vivino,5,3.7,70,False,,,,https://www.vivino.com/w/7032561,2026-08-28
pik-oplenac-tron-rose,PIK Oplenac,Tron Rosé,vivino,5,3.7,75,False,,,,https://www.vivino.com/w/7356506,2026-08-28
pik-oplenac-monarh-cabernet-sauvignon,PIK Oplenac,Monarh Cabernet Sauvignon,vivino,5,3.9,62,False,,,,https://www.vivino.com/w/7011397,2026-08-28
pik-oplenac-villa-nota-chardonnay,PIK Oplenac,Villa Nota Chardonnay,vivino,5,3.8,62,False,,,,https://www.vivino.com/w/7356412,2026-08-28
pik-oplenac-monarh-merlot,PIK Oplenac,Monarh Merlot,vivino,5,3.5,59,False,,,,https://www.vivino.com/w/4942539,2026-08-28
pik-oplenac-tron-cabernet-sauvignon,PIK Oplenac,Tron Cabernet Sauvignon,vivino,5,3.6,53,False,,,,https://www.vivino.com/w/5818761,2026-08-28
pik-oplenac-villa-chardonnay,PIK Oplenac,Villa Chardonnay,vivino,5,3.5,50,False,,,,https://www.vivino.com/w/4362368,2026-08-28
pik-oplenac-villa-nota-traminac,PIK Oplenac,Villa Nota Traminac,vivino,5,3.6,40,False,,,,https://www.vivino.com/w/7166076,2026-08-28
pik-oplenac-monarh-immortal-merlot,PIK Oplenac,Monarh Immortal Merlot,vivino,5,3.8,40,False,,,,https://www.vivino.com/w/7356489,2026-08-28
pik-oplenac-villa-sauvignon-blanc,PIK Oplenac,Villa Sauvignon Blanc,vivino,5,3.6,25,False,,,,https://www.vivino.com/w/4362374,2026-08-28
pik-oplenac-tron-cuvee,PIK Oplenac,Tron Cuvée,vivino,5,3.2,25,False,,,,https://www.vivino.com/w/6587811,2026-08-28
pik-oplenac-villa-nota-rose,PIK Oplenac,Villa Nota Rosé,vivino,5,3.7,25,False,,,,https://www.vivino.com/w/7179315,2026-08-28
kis-chardonnay,Kiš,Chardonnay,vivino,5,3.4,106,False,,,,https://www.vivino.com/w/2201631,2026-08-28
kis-verus-gt,Kiš,Verus GT,vivino,5,4,36,False,,,,https://www.vivino.com/w/12777282,2026-08-28
kis-kisov-merlot,Kiš,Kišov Merlot,vivino,5,3.8,29,False,,,,https://www.vivino.com/w/11423440,2026-08-28
dukay-sagmeister-devas-kadarka,Dukay-Sagmeister,Devas Kadarka,vivino,5,4,244,False,,,,https://www.vivino.com/w/9420660,2026-08-28
dukay-sagmeister-devas-furmint,Dukay-Sagmeister,Devas Furmint,vivino,5,3.9,153,False,,,,https://www.vivino.com/w/8390774,2026-08-28
dukay-sagmeister-kew-furmint,Dukay-Sagmeister,Kew Furmint,vivino,5,4,126,False,,,,https://www.vivino.com/w/10624004,2026-08-28
dukay-sagmeister-furmintis,Dukay-Sagmeister,β Furmintis,vivino,5,3.9,59,False,,,,https://www.vivino.com/w/6977647,2026-08-28
dukay-sagmeister-sauvignon-blanc-zero,Dukay-Sagmeister,Sauvignon Blanc Zero,vivino,5,4.1,80,False,,,,https://www.vivino.com/w/12305908,2026-08-28
dukay-sagmeister-szigeti-kadarka,Dukay-Sagmeister,Szigeti Kadarka,vivino,5,3.9,42,False,,,,https://www.vivino.com/w/5936005,2026-08-28
dukay-sagmeister-pellenger-pinot-noir,Dukay-Sagmeister,Pellenger Pinot Noir,vivino,5,4,40,False,,,,https://www.vivino.com/w/12733640,2026-08-28
dukay-sagmeister-zz-zero,Dukay-Sagmeister,ZZ Zero,vivino,5,4.3,25,False,,,,https://www.vivino.com/w/9808718,2026-08-28
dukay-sagmeister-kew-kadarka,Dukay-Sagmeister,Kew Kadarka,vivino,5,4.1,26,False,,,,https://www.vivino.com/w/12962534,2026-08-28
dukay-sagmeister-furmintis-zero,Dukay-Sagmeister,Furmintis Zero,vivino,5,4.2,35,False,,,,https://www.vivino.com/w/12176797,2026-08-28
jeremic-duetto-smederevka-tamnjanika,Vinarija Jeremic,Duetto Smederevka - Tamnjanika,vivino,5,3.8,57,False,,,,https://www.vivino.com/w/9563361,2026-08-28
jeremic-duet-beli-smederevka-sauvignon-blanc,Vinarija Jeremic,Duet Beli Smederevka - Sauvignon Blanc,vivino,5,3.6,28,False,,,,https://www.vivino.com/w/2611890,2026-08-28
kalem-rizling,Kalem,Rizling,vivino,5,3.6,730,False,,,,https://www.vivino.com/w/8585730,2026-08-28
kalem-vranac,Kalem,Vranac,vivino,5,3.6,511,False,,,,https://www.vivino.com/w/1798420,2026-08-28
kalem-impuls-vranac,Kalem,Impuls Vranac,vivino,5,3.6,172,False,,,,https://www.vivino.com/w/12009913,2026-08-28
kalem-poluslatko-roze,Kalem,Poluslatko Roze,vivino,5,3.7,100,False,,,,https://www.vivino.com/w/10067524,2026-08-28
kalem-rose,Kalem,Rosé,vivino,5,3.7,56,False,,,,https://www.vivino.com/w/2868901,2026-08-28
kalem-grasevina,Kalem,Graševina,vivino,5,3,37,False,,,,https://www.vivino.com/w/2062702,2026-08-28
kalem-1892-tamjanika,Kalem,1892 Tamjanika,vivino,5,3.5,37,False,,,,https://www.vivino.com/w/8078705,2026-08-28
kalem-1892-dominant-prokupac,Kalem,1892 Dominant Prokupac,vivino,5,3.9,27,False,,,,https://www.vivino.com/w/10309631,2026-08-28
kalem-1892-sauvignon-blanc,Kalem,1892 Sauvignon Blanc,vivino,5,3.5,25,False,,,,https://www.vivino.com/w/8040217,2026-08-28
radovan-радован-прокупац-radovan-prokupac,Radovan,Радован Прокупац (Radovan Prokupac),vivino,5,4.2,610,False,,,,https://www.vivino.com/w/5851610,2026-08-28
radovan-experiment-prokupac,Radovan,Experiment Prokupac,vivino,5,3.9,531,False,,,,https://www.vivino.com/w/2026513,2026-08-28
radovan-experiment-tamjanika,Radovan,Experiment Tamjanika,vivino,5,4,222,False,,,,https://www.vivino.com/w/4827569,2026-08-28
radovan-радован-тамjаника-radovan-tamjanika,Radovan,Радован Тамjаника (Radovan Tamjanika),vivino,5,4.1,146,False,,,,https://www.vivino.com/w/6304261,2026-08-28
trivanovic-shiraz,Trivanović,Shiraz,vivino,5,3.4,267,False,,,,https://www.vivino.com/w/4151932,2026-08-28
trivanovic-invictus,Trivanović,Invictus,vivino,5,3.4,90,False,,,,https://www.vivino.com/w/4774727,2026-08-28
vinarska-kuca-spasic-там-аника-the-prisoner,Spasić,Тамњаника (The Prisoner),vivino,5,3.9,920,False,,,,https://www.vivino.com/w/1491432,2026-08-28
vinarska-kuca-spasic-там-аника-лекци-а-tamanika-lesson,Spasić,Тамњаника Лекција (Tamanika Lesson),vivino,5,4,243,False,,,,https://www.vivino.com/w/1736548,2026-08-28
vinarska-kuca-spasic-ада-а-тама-аница-azdaja-tamjanika,Spasić,Адаја Тамајаница (Aždaja Tamjanika),vivino,5,4.2,46,False,,,,https://www.vivino.com/w/10184862,2026-08-28
vinarska-kuca-spasic-деспот-despot,Spasić,Деспот (Despot),vivino,5,3.5,44,False,,,,https://www.vivino.com/w/8178260,2026-08-28
toplicki-tribus-villa-cuvee,Toplički Vinogradi,Tribus Villa Cuvée,vivino,5,3.2,37,False,,,,https://www.vivino.com/w/4934380,2026-08-28
atelje-sapat-magnus,Šapat,Magnus,vivino,5,3.7,163,False,,,,https://www.vivino.com/w/5798893,2026-08-28
atelje-sapat-chardonnay,Šapat,Chardonnay,vivino,5,3.6,116,False,,,,https://www.vivino.com/w/2829130,2026-08-28
atelje-sapat-suma,Šapat,Suma,vivino,5,3.4,93,False,,,,https://www.vivino.com/w/4500349,2026-08-28
atelje-sapat-cuvee-magnus,Šapat,Cuvée Magnus,vivino,5,3.9,43,False,,,,https://www.vivino.com/w/5367760,2026-08-28
atelje-sapat-atila-single-vineyard-sauvignon-blanc,Šapat,Atila Single Vineyard Sauvignon Blanc,vivino,5,4.2,45,False,,,,https://www.vivino.com/w/13118475,2026-08-28
atelje-sapat-rose,Šapat,Rosé,vivino,5,3.5,38,False,,,,https://www.vivino.com/w/2422026,2026-08-28
atelje-sapat-reserve-merlot,Šapat,Reserve Merlot,vivino,5,3.9,33,False,,,,https://www.vivino.com/w/9980708,2026-08-28
atelje-sapat-picrveno-reserve,Šapat,Pi'Crveno Reserve,vivino,5,4,31,False,,,,https://www.vivino.com/w/10043215,2026-08-28
atelje-sapat-merlot,Šapat,Merlot,vivino,5,3.7,34,False,,,,https://www.vivino.com/w/2829163,2026-08-28
atelje-sapat-atila-chardonnay,Šapat,Atila Chardonnay,vivino,5,4.3,48,False,,,,https://www.vivino.com/w/12946376,2026-08-28
atelje-sapat-atila-single-vineyard-cabernet-sauvignon,Šapat,Atila Single Vineyard Cabernet Sauvignon,vivino,5,4.1,40,False,,,,https://www.vivino.com/w/12992692,2026-08-28
atelje-sapat-picrveno-premium,Šapat,Pi'Crveno Premium,vivino,5,4,45,False,,,,https://www.vivino.com/w/12994240,2026-08-28
vinum-italijanski-rizling-bel-vino,Vinum,Italijanski Rizling Bel Vino,vivino,5,3.5,47,False,,,,https://www.vivino.com/w/2505246,2026-08-28
vinum-sauvignon-blanc,Vinum,Sauvignon Blanc,vivino,5,3.7,36,False,,,,https://www.vivino.com/w/1787844,2026-08-28
jovic-chardonnay,Jović,Chardonnay,vivino,5,3.8,141,False,,,,https://www.vivino.com/w/2592532,2026-08-28
jovic-rizling-rajnski,Jović,Rizling Rajnski,vivino,5,3.7,143,False,,,,https://www.vivino.com/w/1579611,2026-08-28
jovic-cabernet-sauvignon,Jović,Cabernet Sauvignon,vivino,5,3.8,113,False,,,,https://www.vivino.com/w/2946935,2026-08-28
jovic-sauvignon,Jović,Sauvignon,vivino,5,3.7,75,False,,,,https://www.vivino.com/w/2073089,2026-08-28
jovic-petrkanjski-roze,Jović,Petrkanjski Roze,vivino,5,4,32,False,,,,https://www.vivino.com/w/9125387,2026-08-28
jovic-rose-dionizije,Jović,Rose Dionizije,vivino,5,3.5,30,False,,,,https://www.vivino.com/w/2192217,2026-08-28
braca-rajkovic-sofia-tamjanika,Braca Rajkovic,Sofia Tamjanika,vivino,5,3.8,333,False,,,,https://www.vivino.com/w/1448902,2026-08-28
braca-rajkovic-33-red,Braca Rajkovic,33 Red,vivino,5,4.4,311,False,,,,https://www.vivino.com/w/1948223,2026-08-28
braca-rajkovic-prince-rskavac,Braca Rajkovic,Prince Rskavac,vivino,5,3.5,173,False,,,,https://www.vivino.com/w/2315649,2026-08-28
braca-rajkovic-sofia-cuvee,Braca Rajkovic,Sofia Cuvée,vivino,5,3.7,157,False,,,,https://www.vivino.com/w/1844965,2026-08-28
braca-rajkovic-sofia-rose,Braca Rajkovic,Sofia Rosé,vivino,5,3.7,48,False,,,,https://www.vivino.com/w/6631524,2026-08-28
braca-rajkovic-33-bela,Braca Rajkovic,33 Bela,vivino,5,4.1,41,False,,,,https://www.vivino.com/w/9720246,2026-08-28
imperator-maximianvs,Vinarija Imperator,Maximianvs,vivino,5,4,204,False,,,,https://www.vivino.com/w/2063040,2026-08-28
imperator-valerius-rajnski-rizling,Vinarija Imperator,Valerius Rajnski Rizling,vivino,5,3.9,207,False,,,,https://www.vivino.com/w/2386201,2026-08-28
imperator-gratianus-traminac,Vinarija Imperator,Gratianus Traminac,vivino,5,4,93,False,,,,https://www.vivino.com/w/2982058,2026-08-28
imperator-quintillus-malbec-merlot,Vinarija Imperator,Quintillus Malbec - Merlot,vivino,5,4.1,134,False,,,,https://www.vivino.com/w/7292102,2026-08-28
imperator-grasac,Vinarija Imperator,Grašac,vivino,5,4,66,False,,,,https://www.vivino.com/w/11026501,2026-08-28
imperator-sila-nika,Vinarija Imperator,Sila Nika,vivino,5,3.8,56,False,,,,https://www.vivino.com/w/10787592,2026-08-28
imperator-claudius-sauvignon-blanc,Vinarija Imperator,Claudius Sauvignon Blanc,vivino,5,3.7,43,False,,,,https://www.vivino.com/w/6418764,2026-08-28
imperator-animus,Vinarija Imperator,Animus,vivino,5,4.1,36,False,,,,https://www.vivino.com/w/11495278,2026-08-28
imperator-constantivs-cabernet-franc-cabernet-sauvignon,Vinarija Imperator,Constantivs Cabernet Franc- Cabernet Sauvignon,vivino,5,4.2,28,False,,,,https://www.vivino.com/w/5788189,2026-08-28
imperator-cargras-grasac,Vinarija Imperator,Cargraš Grašac,vivino,5,3.9,33,False,,,,https://www.vivino.com/w/12653401,2026-08-28
imperator-maq-i-primus,Vinarija Imperator,Maq I Primus,vivino,5,4,30,False,,,,https://www.vivino.com/w/12450019,2026-08-28
vinska-kuca-minica-tamnjanika-stota-suza,Vinska Kuća Minića,Tamnjanika Stota Suza,vivino,5,4.1,887,False,,,,https://www.vivino.com/w/5912218,2026-08-28
vinska-kuca-minica-dorotej-pinot-noir,Vinska Kuća Minića,Dorotej Pinot Noir,vivino,5,3.5,31,False,,,,https://www.vivino.com/w/1242038,2026-08-28
100-zena-rose,Vinarija 100 Žena,Rosé,vivino,5,4.1,180,False,,,,https://www.vivino.com/w/10751600,2026-08-28
