klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksandrovic-finesa-rose,Aleksandrović,Finesa Rosé,4572327,https://www.vivino.com/w/4572327,ocenka_est,141,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
aleksandrovic-harizma,Aleksandrović,Harizma,,,net_na_vivino,,False,False,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-harizma-selection,Aleksandrović,Harizma Selection,1277072,https://www.vivino.com/w/1277072,ocenka_est,5360,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-kamenicarka-prokupac,Aleksandrović,Kameničarka Prokupac,,,net_na_vivino,,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-loza,Aleksandrović,Loza,11988047,https://www.vivino.com/w/11988047,malo_ocenok,1,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,десертное
aleksandrovic-muskat-hamburg,Aleksandrović,Muskat Hamburg,11584034,https://www.vivino.com/w/11584034,malo_ocenok,30,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
aleksandrovic-oplen,Aleksandrović,Oplen,,,net_na_vivino,,False,False,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-oplen-rheinriesling,Aleksandrović,Oplen Rheinriesling,,,net_na_vivino,,False,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-oplen-riesling,Aleksandrović,Oplen Riesling,2464844,https://www.vivino.com/w/2464844,ocenka_est,602,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-oplen-selection,Aleksandrović,Oplen Selection,2539115,https://www.vivino.com/w/2539115,ocenka_est,179,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-oplenac-selection,Aleksandrović,Oplenac Selection,1695622,https://www.vivino.com/w/1695622,malo_ocenok,46,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,белое
aleksandrovic-prokupac,Aleksandrović,Prokupac,7380637,https://www.vivino.com/w/7380637,ocenka_est,5333,False,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-red-selection,Aleksandrović,Red Selection,13764197,https://www.vivino.com/w/13764197,malo_ocenok,1,False,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,красное
aleksandrovic-regent,Aleksandrović,Regent,,,net_na_vivino,,False,False,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-regent-reserve,Aleksandrović,Regent Reserve,1171281,https://www.vivino.com/w/1171281,ocenka_est,19486,False,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-rodoslov,Aleksandrović,Rodoslov,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-rodoslov-grand-reserve,Aleksandrović,Rodoslov Grand Reserve,1938565,https://www.vivino.com/w/1938565,ocenka_est,7296,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
